id,label,text
0,1,"Wektu teka, wong enom sing dikirim ing dhaérah sing adoh kanggo numpak tandhané klien sing wis mati. Wektu teka, dhèwèké ngrasa nèk wong wédok sing ditampa kurang timbang wong - wong désa lan klien sing wis mati ora seneng. Kanggo cepet - cepet nggolèk panggonan saka ing kono lan manggon ing omahé, omah sing biyasané lumrah lan cedhak mung merga wewedhungané laut. Wektu ndelok wong wédok sing dinggo ireng, kuwi nyata utawa dipikir, dhèwèké uga digawé kanggo nggolèk jenengé geréja sing tumrap saka kono lan bocah - bocah ing kono, aku mung ngentèni wernané TV lan ora suwé."
1,1,"Thomas Beckett & Richard Miller - loro manungsa sing péngin urip ing ""junggle"" kasar lan mudnes, salah siji tembakan - sing dipatèni!!! Kowe kudu matèni, nèk panjenengan ragu - raguna bab apa, AKON SURVIVE!!<br /><br />P.P.- Aku nggolèk sing salah / sing jahat/ Inggris!!!!!"
2,0,"Oke, aku wis ndelok film iki ping pindho saiki, aku nduwèk penyelidikan game ing nete, aku takon beberapa wong ana pendapat. Malah aku nggawa paling maca Sheridan Lafanu Classic 'Carmilla', buku sing didasarké karo film iki. Aku rumangsa cara sing paling apik kanggo nerangké film iki kanggo main wektu ndelok kuwi. Kaya film kuwi ora ana apa sing dimaksud, iki arep maca buku sing original Sheridan Lafanu Classic 'Carmilla', buku sing dimaksud ing Syberia, Mr Lafontine nggawa pendhong koyo ditakon <bbr> thok <bbr> thook <bbr>>, sing dimaksud <bbr> thook //bbr> thook>, yaitu gunané //dok/dok/dokmen <bbr>, sing dijawangi."
3,0,"Aku seneng karo aktor/aktress sing mlebu ing proyek iki sing ngèlèk karo film sing luwih parah timbang nèk nganggo musik sing ora dikenal.Masalah utama iki yakin mung salah siji katrangan sing digawé kanggo bayi boomer.In 20 utawa 30 taun Nbc mungkin bakal nindakké film kaya ngono mulai 90. Aku isa ndelok iki keluarga kulit ireng sing digawé karo bocah-bocah sing mbuyok la lan keluarga kulit putih nduwé bocah revol lan ngrungo musik grunge rock.Soundtrack arep maca bands sing kaya Nirvana, N.W.A, Public Enem, Soundgard etc."
4,1,"Ana cerita (mbokmenawa apokrifa) bab wichingan antara Bruce Willis and Terry Gilliam ing mulai Twoul Monkey. Gilliam (dikawe) nggawé daftar daftar panjang (dipikir tentang pesawat saka Element sing Lima) lan ngendihke Butch Bruce. Itu arep ""Things Bruce Willis Does"". It's will with a film muddy saying: ""Tould do not of the larth in the tool in the film in akut"".<br />Aktual /br />Aga a fakta tentang film iki (definiter trust). Gilliam ora nduwé tangan ing nulis.<br /> <tool/tool/tool/tools>, gambar <tool/tool>, gambar>, gambar <tool/detail>, gambar>"
5,0,***THIS REVIOW MOHAN MEMBENE SPOILERS - nanging kuwi teguran kuwi ora nggumun ing klasik lan kenal *** <br /><br />>CINDERELLA numreh gambar faré favoritku. Dunia ora bakal nduwé cukup gambar sing luar biasa.<br />Cinder's real version on the study.Cabbrell />Cabbrell / Custom design/design/design / design with powers and edition.<bbrell>Cuck/details/details/details/details/details/details/details/details/details/details.
6,0,"A diplomat pensiyon, sing mlaku sing apik dek Michael York, menyang Rusia kanggo njaluk bales marang gangster Rusia sing matèni putra polisi diplomat. Itu diplomat iku ketemu karo polisi Rusia sing kusus lan adil, sing mbantu dhèwèké nggawa gangster Rusia menyang adil.<br /><br />Aku ngéling aksi laporan laporan 1980-an sing sampurna nggambarké gangster gangster Rusia sing mbuwang pamréntahan U.S.Kan iku menang banget ndelok wong Rusia dadi hero.<br /><br> Ora ana gangster Rusia ing adil. Iki biasané aksi gangster Russia."
7,0,"Aku yakin nèk film iki pancèn ora adil. Aku ngélingké film porn c-grad nganggo salah siji béda: ora ana porn.<br /><br />Critic lan dialog sing butuh owerhaul. Mungkin aksi sing salah kuwi ora diperhati. Mungkin, pacing kuwi kudu diundang.<br /><br />>King aku nampa nèk kuwi bagéan sing kurang lan direktur kuwi gawéan sing apik sing mlebuké sumbangan sing diduwèni, dhèwèké kudu nggunakké luwih akèh wektu kanggo nulis kuwi utawa luwih apik manèh, nggawe wong liya kanggo nulis. Akèh cineng aksi kuwi mung ora ana gunané. <br /><br /><br />"
8,0,"Minggu iki aku nganti ndelok ""28 Minggu Saksuwéné"" sing apik banget. Sakwisé aku ndelok film iki. <br /><br />Ku ngandhani kowe kuwi salah siji sing paling menyu banget sing isa ditemokké. Liyanan sing ora cocok, ora ana script lan ora rekaman. Makhluk asing kuwi ora cocok. Laporan perang kuwi dibandhingké karo perang sekolah. Lan dadi saya parah wong sing jenengé Cody nduwé basa kosong sing ngganggu nggawa film utama.<br /><br /><br />Geneng film iki, ning mung ngganggu 28 Minggu Later.<br /><br />Cheers, Meake."
9,1,"Aku durung dadi fan Farrah Fawcett... nganti saiki. Dhèwèké pancèn luar biasa ing film iki. Rumangsa sing ditembak manèh sakwisé nampa uwong-uwong ora mung mikir. Iki film sing gampang dilihat, topik kuwi ora nyenengké lan kowe rumangsa ora isa lungguh lan ngganggu wong wédok sing dilarang kanggo apa sing keyakiné ora saklawasé. Aku rumangsa saben barang sing diganggu wektu kanca-kancané mulih ing omah lan aku ora nggawe kesimpulan sing mung masuk. Dadiger kuwi keyekel banget nggunakké teatrané lan nggunakké refleksi sing mirip, aku percaya kowe kudu diganggu luwih ngganggu ing sisi teater sing kapindho."
10,0,"Penn ngongkon wektu kanggo nggawe karakteré, lan kita mèh perduli karo wong - wong kuwi. Ning, ana masalah sing sejati karo crita iki, kita ndelok ora ana sing nyebabké kelakuané sedulur sing jahat, lan line awak digawe. Taun 1963, musik kuwi tekan 60/kurang 70. Referensi lan dialog iki 70/80."
